name,description,price,image_url,category,featured,stock,details,translations,id,created_date,updated_date,created_by_id,is_sample
"Olio Extravergine di Oliva 'ORO' 250ml","Olio extravergine di oliva ORO in formato tascabile da 250ml. Perfetto per degustazioni, regali o per chi vuole provare la qualità Oro Naturale.","11.95","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/7d3f5cd10_olio-oro-250ml.png","extra_virgin_olive_oil","false","100","{""origin"":""Umbria, Italia"",""harvest_year"":""2025"",""volume"":""250ml"",""characteristics"":[""Uso quotidiano"",""Formato degustazione"",""Idea regalo"",""Qualità garantita""]}","{""en"":{""name"":""Extra Virgin Olive Oil 'ORO' 250ml"",""description"":""ORO extra virgin olive oil in pocket-sized 250ml format. Perfect for tastings, gifts or for those who want to try Oro Naturale quality.""},""fr"":{""name"":""Huile d'Olive Extra Vierge 'ORO' 250ml"",""description"":""Huile d'olive extra vierge ORO en format poche de 250ml. Parfait pour les dégustations, les cadeaux ou pour ceux qui veulent essayer la qualité Oro Naturale.""},""es"":{""name"":""Aceite de Oliva Virgen Extra 'ORO' 250ml"",""description"":""Aceite de oliva virgen extra ORO en formato de bolsillo de 250ml. Perfecto para degustaciones, regalos o para quien quiera probar la calidad de Oro Naturale.""},""ro"":{""name"":""Ulei de Măsline Extravirgin 'ORO' 250ml"",""description"":""Ulei de măsline extravirgin ORO în format de buzunar de 250ml. Perfect pentru degustări, cadouri sau pentru cei care doresc să încerce calitatea Oro Naturale.""}}","6915c55b12c4e690ecc1b719","2025-11-13T11:47:39.213000","2025-11-14T08:11:24.386000","690def7378e8f85386a1132e","false"
"Olio EVO Blend Bio Ronci 500ml","Olio extravergine di oliva biologico blend premium. Sapore equilibrato e versatile, perfetto per uso quotidiano. Certificato biologico.","14.95","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/c168e4436_olio-blend-bio.jpg","extra_virgin_olive_oil","true","100","{""origin"":""Italia - Umbria"",""harvest_year"":""2025"",""volume"":""500ml"",""characteristics"":[""Biologico"",""Blend"",""Equilibrato"",""Versatile"",""Certificato Bio""]}","{""en"":{""name"":""Organic EVO Blend Ronci 500ml"",""description"":""Premium organic extra virgin olive oil blend. Balanced and versatile flavor, perfect for daily use. Organic certified.""},""fr"":{""name"":""Blend Biologique EVO Ronci 500ml"",""description"":""Mélange d'huile d'olive extra vierge biologique premium. Saveur équilibrée et polyvalente, parfaite pour un usage quotidien. Certifiée biologique.""},""es"":{""name"":""Blend Orgánico EVO Ronci 500ml"",""description"":""Mezcla de aceite de oliva virgen extra orgánico premium. Sabor equilibrado y versátil, perfecto para uso diario. Certificado orgánico.""},""ro"":{""name"":""Blend Organic EVO Ronci 500ml"",""description"":""Amestec premium de ulei de măsline extravirgin organic. Gust echilibrat și versatil, perfect pentru uz zilnic. Certificat organic.""}}","6914b82805cfed02a50a7da4","2025-11-12T16:39:04.161000","2025-11-16T17:45:49.632000","690def7378e8f85386a1132e","false"
"Olio Extravergine di Oliva 'ORO' 5L","Olio extravergine di oliva italiano certificato, dalle colline del Subasio. Un EVO naturale e genuino, estratto a freddo, dal gusto equilibrato e versatile, ideale sia a crudo che in cottura. Nel pratico formato da 5 litri, è la scelta perfetta per famiglie e ristoratori che cercano qualità, convenienza e autenticità umbra.","110.95","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/4c46f645a_oro-5l.jpg","extra_virgin_olive_oil","true","50","{""origin"":""Umbria, Italia"",""harvest_year"":""2025"",""volume"":""5L"",""characteristics"":[""Gusto equilibrato"",""Versatile"",""Formato famiglia"",""Per ristoratori""]}","{""en"":{""name"":""Extra Virgin Olive Oil 'ORO' 5L"",""description"":""Italian extra virgin olive oil from the hills of Subasio. A natural and genuine EVO, cold-pressed, with a balanced and versatile flavor, ideal both raw and for cooking. In a practical 5-liter format, it’s the perfect choice for families and restaurateurs looking for quality, convenience, and Umbrian authenticity.""},""fr"":{""name"":""Huile d’Olive Vierge Extra 'ORO' 5L"",""description"":""Huile d’olive vierge extra italienne, issue des collines du Subasio. Une EVO naturelle et authentique, extraite à froid, au goût équilibré et polyvalent, idéale aussi bien crue qu’en cuisson. Dans un format pratique de 5 litres, c’est le choix parfait pour les familles et les restaurateurs recherchant qualité, praticité et authenticité ombrienne.""},""es"":{""name"":""Aceite de Oliva Virgen Extra 'ORO' 5L"",""description"":""Aceite de oliva virgen extra italiano, de las colinas del Subasio. Un EVO natural y genuino, extraído en frío, con un sabor equilibrado y versátil, ideal tanto en crudo como para cocinar. En un práctico formato de 5 litros, es la elección perfecta para familias y restauradores que buscan calidad, conveniencia y autenticidad de Umbría.""},""ro"":{""name"":""Ulei de măsline extravirgin 'ORO' 5L"",""description"":""Ulei de măsline extravirgin italian, provenit din colinele Subasio. Un EVO natural și autentic, extras la rece, cu un gust echilibrat și versatil, ideal atât crud, cât și pentru gătit. În formatul practic de 5 litri, este alegerea perfectă pentru familii și restaurante care caută calitate, conveniență și autenticitate umbriană.""}}","690f13c369e3610ea9b1e17e","2025-11-08T09:56:19.770000","2025-11-14T08:16:59.331000","690def7378e8f85386a1132e","false"
"Olio EVO Premium 'Sien Die' 750ml","Olio extravergine di oliva di qualità superiore, prodotto in quantità limitata. Aromatico e intenso, con note di erbe fresche e mandorla, ideale per piatti gourmet, crudité, carni pregiate e insalate. Scelto da chef e appassionati per il suo sapore autentico e premiato.","35.95","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/18e805e11_Olio-EVO-Premium-Sien-Die-750ml.jpg","extra_virgin_olive_oil","true","30","{""origin"":""Umbria, Italia"",""harvest_year"":""2025"",""volume"":""750ml"",""characteristics"":[""Aromatico e intenso"",""Note di erbe fresche"",""Mandorla"",""Edizione limitata"",""Premium""]}","{""en"":{""name"":""Premium EVO Oil 'Sien Die' 750ml"",""description"":""Superior quality extra virgin olive oil, produced in limited quantities. Aromatic and intense, with notes of fresh herbs and almond, ideal for gourmet dishes, crudités, premium meats, and salads. Chosen by chefs and enthusiasts for its authentic flavor and award-winning quality.""},""fr"":{""name"":""Huile EVO Premium 'Sien Die' 750ml"",""description"":""Huile d’olive vierge extra de qualité supérieure, produite en quantités limitées. Aromatique et intense, avec des notes d’herbes fraîches et d’amande, idéale pour les plats gastronomiques, crudités, viandes raffinées et salades. Choisie par les chefs et les passionnés pour sa saveur authentique et sa qualité primée.""},""es"":{""name"":""Aceite EVO Premium 'Sien Die' 750ml"",""description"":""Aceite de oliva virgen extra de calidad superior, producido en cantidades limitadas. Aromático e intenso, con notas de hierbas frescas y almendra, ideal para platos gourmet, crudités, carnes selectas y ensaladas. Elegido por chefs y aficionados por su sabor auténtico y calidad premiada.""},""ro"":{""name"":""Ulei EVO Premium 'Sien Die' 750ml"",""description"":""Ulei de măsline extravirgin de calitate superioară, produs în cantități limitate. Aromat și intens, cu note de ierburi proaspete și migdale, ideal pentru preparate gourmet, crudités, carne de calitate și salate. Alegerea bucătarilor și pasionaților pentru gustul său autentic și calitatea premiată.""}}","690f13c369e3610ea9b1e17f","2025-11-08T09:56:19.770000","2025-11-14T08:34:16.537000","690def7378e8f85386a1132e","false"
"Olio EVO Premium 'DOC' 500ml","Olio extravergine di oliva DOC di qualità superiore. Premium selection con certificazione di origine controllata. Ideale per piatti ricercati e palati raffinati.","32.95","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/f26e7cb50_spumante-brut-1742.jpg","extra_virgin_olive_oil","false","30","{""origin"":""Umbria, Italia"",""harvest_year"":""2025/2026"",""volume"":""500ml"",""characteristics"":[""Premium"",""DOC"",""Qualità superiore"",""Edizione limitata"",""Estratto a freddo""]}","{""en"":{""name"":""Premium EVO Oil 'DOC' 500ml"",""description"":""Superior quality DOC extra virgin olive oil. Premium selection with controlled origin certification. Ideal for refined dishes and sophisticated palates.""},""fr"":{""name"":""Huile EVO Premium 'DOC' 500ml"",""description"":""Huile d’olive vierge extra DOC de qualité supérieure. Sélection premium avec certification d’origine contrôlée. Idéale pour des plats raffinés et des palais exigeants.""},""es"":{""name"":""Aceite EVO Premium 'DOC' 500ml"",""description"":""Aceite de oliva virgen extra DOC de calidad superior. Selección premium con certificación de origen controlado. Ideal para platos refinados y paladares exigentes.""},""ro"":{""name"":""Ulei EVO Premium 'DOC' 500ml"",""description"":""Ulei de măsline extravirgin DOC de calitate superioară. Selecție premium cu certificare de origine controlată. Ideal pentru preparate rafinate și pentru gusturi sofisticate.""}}","690f13c369e3610ea9b1e180","2025-11-08T09:56:19.770000","2025-11-14T08:44:03.268000","690def7378e8f85386a1132e","false"
"Olio di Avocado di Sicilia 100% Italiano","Ottenuto da avocado selezionati alle pendici dell’Etna, è ricco di grassi buoni, omega 3 e vitamine E e D. Un’eccellenza italiana dal gusto delicato e dalle proprietà benefiche naturali.","59.95","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/27e8d20ec_Avocado-bottiglia-olio-500ml.jpg","flavored_oils","false","5","{""origin"":""Sicilia Italia"",""harvest_year"":null,""volume"":""500ml"",""characteristics"":[""Uso quotidiano"",""Qualità garantita"",""Versatile"",""Naturale""]}","{""en"":{""name"":""Avo – 100% Italian Avocado Oil from Sicily."",""description"":""Made from selected avocados grown on the slopes of Mount Etna, it’s rich in healthy fats, omega-3, and vitamins E and D. An Italian excellence with a delicate taste and natural beneficial properties.""},""fr"":{""name"":""Avo – Huile d’Avocat de Sicile 100 % Italienne."",""description"":""Produite à partir d’avocats sélectionnés cultivés sur les pentes de l’Etna, elle est riche en bonnes graisses, en oméga-3 et en vitamines E et D. Une excellence italienne au goût délicat et aux bienfaits naturels.""},""es"":{""name"":""Avo – Aceite de Aguacate de Sicilia 100 % Italiano."",""description"":""Elaborado con aguacates seleccionados cultivados en las laderas del Etna, es rico en grasas saludables, omega-3 y vitaminas E y D. Una excelencia italiana con sabor delicado y beneficios naturales.""},""ro"":{""name"":""Avo – Ulei de Avocado din Sicilia 100 % Italian."",""description"":""Obținut din avocado selecționat, cultivat pe versanții Etnei, este bogat în grăsimi sănătoase, omega-3 și vitaminele E și D. O excelență italiană cu gust delicat și proprietăți naturale benefice.""}}","690f13c369e3610ea9b1e181","2025-11-08T09:56:19.770000","2025-11-13T15:02:46.921000","690def7378e8f85386a1132e","false"
"Olio Extravergine di Oliva Biologico 500ml","Olio extravergine di oliva biologico certificato. Coltivato con metodi naturali, senza pesticidi o fertilizzanti chimici. Purezza e autenticità in ogni goccia.","25.75","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/128f960c8_Olio-Extravergine-di-Oliva-Biologico-500ml.jpg","extra_virgin_olive_oil","false","60","{""origin"":""Italia"",""harvest_year"":""2025"",""volume"":""500ml"",""characteristics"":[""Biologico"",""Naturale"",""Senza pesticidi"",""Certificato""]}","{""en"":{""name"":""Organic Extra Virgin Olive Oil 500ml"",""description"":""Certified organic extra virgin olive oil. Cultivated using natural methods, without pesticides or chemical fertilizers. Italian purity and authenticity in every drop.""},""fr"":{""name"":""Huile d’Olive Vierge Extra Biologique 500ml"",""description"":""Huile d’olive vierge extra biologique certifiée. Cultivée selon des méthodes naturelles, sans pesticides ni engrais chimiques. Pureté et authenticité italiennes dans chaque goutte.""},""es"":{""name"":""Aceite de Oliva Virgen Extra Ecológico 500ml"",""description"":""Aceite de oliva virgen extra orgánico certificado. Cultivado con métodos naturales, sin pesticidas ni fertilizantes químicos. Pureza y autenticidad italiana en cada gota.""},""ro"":{""name"":""Ulei de măsline extravirgin bio 500ml"",""description"":""Ulei de măsline extravirgin bio certificat. Cultivat prin metode naturale, fără pesticide sau îngrășăminte chimice. Puritate și autenticitate italiană în fiecare picătură.""}}","690f13c369e3610ea9b1e182","2025-11-08T09:56:19.770000","2025-11-14T08:33:23.443000","690def7378e8f85386a1132e","false"
"Olio Extravergine Monocultivar Moraiolo 500ml","Olio extravergine monocultivar da olive Moraiolo. Sapore intenso e deciso, con note fruttate. Perfetto per bruschette e piatti robusti.","17.95","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/6a8228dba_olio-moraiolo.jpg","extra_virgin_olive_oil","false","40","{""origin"":""Umbria, Italia"",""harvest_year"":""2025"",""volume"":""500ml"",""characteristics"":[""Monocultivar"",""Intenso"",""Fruttato"",""Robusto""]}","{""en"":{""name"":""Monocultivar Moraiolo Extra Virgin Olive Oil 500ml"",""description"":""Monocultivar extra virgin olive oil from Moraiolo olives. Intense and bold flavor, with fruity notes. Perfect for bruschetta and hearty dishes. A natural, cold-pressed oil.""},""fr"":{""name"":""Huile d’Olive Vierge Extra Monovariétale Moraiolo 500ml"",""description"":""Huile d’olive vierge extra monovariétale à partir d’olives Moraiolo. Saveur intense et prononcée, avec des notes fruitées. Parfaite pour les bruschetta et les plats robustes. Une huile naturelle extraite à froid.""},""es"":{""name"":""Aceite de Oliva Virgen Extra Monovarietal Moraiolo 500ml"",""description"":""Huile d’olive vierge extra monovariétale à partir d’olives Moraiolo. Saveur intense et prononcée, avec des notes fruitées. Parfaite pour les bruschetta et les plats robustes. Une huile naturelle extraite à froid.""},""ro"":{""name"":""Ulei de măsline extravirgin Monocultivar Moraiolo 500ml"",""description"":""Ulei de măsline extravirgin monocultivar din măsline Moraiolo. Gust intens și puternic, cu note fructate. Perfect pentru bruschette și preparate consistente. Un ulei natural extras la rece.""}}","690f13c369e3610ea9b1e183","2025-11-08T09:56:19.770000","2025-11-16T17:42:01.430000","690def7378e8f85386a1132e","false"
"Olio Extravergine Monocultivar Moraiolo 250ml","Olio extravergine monocultivar da olive Moraiolo in formato tascabile. Ideale per degustazioni e regali.","10.95","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/6a8228dba_olio-moraiolo.jpg","extra_virgin_olive_oil","false","50","{""origin"":""Umbria, Italia"",""harvest_year"":null,""volume"":""250ml"",""characteristics"":[""Monocultivar"",""Formato degustazione"",""Intenso""]}","{""en"":{""name"":""English: Monocultivar Moraiolo Extra Virgin Olive Oil 250ml"",""description"":""Monocultivar extra virgin olive oil from Moraiolo olives. Intense and bold flavor, with fruity notes. Perfect for bruschetta and hearty dishes. A natural, cold-pressed oil.""},""fr"":{""name"":""Huile d’Olive Vierge Extra Monovariétale Moraiolo 250ml"",""description"":""Huile d’olive vierge extra monovariétale à partir d’olives Moraiolo. Saveur intense et prononcée, avec des notes fruitées. Parfaite pour les bruschetta et les plats robustes. Une huile naturelle extraite à froid.""},""es"":{""name"":""Aceite de Oliva Virgen Extra Monovarietal Moraiolo 250ml"",""description"":""Aceite de oliva virgen extra monovarietal de aceitunas Moraiolo. Sabor intenso y decidido, con notas afrutadas. Perfecto para bruschettas y platos contundentes. Un aceite natural extraído en frío.""},""ro"":{""name"":""Ulei de măsline extravirgin Monocultivar Moraiolo 250ml"",""description"":""Ulei de măsline extravirgin monocultivar din măsline Moraiolo. Gust intens și puternic, cu note fructate. Perfect pentru bruschette și preparate consistente. Un ulei natural extras la rece.""}}","690f13c369e3610ea9b1e184","2025-11-08T09:56:19.770000","2025-11-16T17:39:39.312000","690def7378e8f85386a1132e","false"
"Olio Extravergine Monocultivar Frantoio 500ml","Olio extravergine monocultivar da olive Frantoio. Delicato e aromatico, con sentori di erba fresca e carciofo. Eccellente su pesce e verdure.","17.95","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690def7378e8f85386a1132d/e246cf0ab_olio-frantoio-500ml.jpg","extra_virgin_olive_oil","false","40","{""origin"":""Umbria, Italia"",""harvest_year"":null,""volume"":""500ml"",""characteristics"":[""Monocultivar"",""Delicato"",""Aromatico"",""Erba fresca""]}","{""en"":{""name"":""Monocultivar Frantoio Extra Virgin Olive Oil 500ml"",""description"":""Monocultivar extra virgin olive oil from Frantoio olives. Delicate and aromatic, with hints of fresh grass and artichoke. Excellent on fish and vegetables.""},""fr"":{""name"":""Huile d’Olive Vierge Extra Monovariétale Frantoio 500ml"",""description"":""Huile d’olive vierge extra monovariétale à partir d’olives Frantoio. Délicate et aromatique, avec des notes d’herbe fraîche et d’artichaut. Excellente sur le poisson et les légumes.""},""es"":{""name"":""Aceite de Oliva Virgen Extra Monovarietal Frantoio 500ml"",""description"":""Aceite de oliva virgen extra monovarietal de aceitunas Frantoio. Delicado y aromático, con notas de hierba fresca y alcachofa. Excelente para pescados y verduras.""},""ro"":{""name"":""Ulei de măsline extravirgin Monocultivar Frantoio 500ml"",""description"":""Ulei de măsline extravirgin monocultivar din măsline Frantoio. Delicat și aromat, cu note de iarbă proaspătă și anghinare. Excelent pentru pește și legume.""}}","690f13c369e3610ea9b1e185","2025-11-08T09:56:19.770000","2025-11-16T17:38:54.059000","690def7378e8f85386a1132e","false"
